"Myślenie o zmianie klimatu sprawia, że trudno mi się skoncentrować."	"Thinking about climate change makes it difficult for me to concentrate."
"Myślenie o zmianie klimatu sprawia, że mam problemy ze snem."	"Thinking about climate change makes it difficult for me to sleep."
"Mam koszmary dotyczące zmiany klimatu."	"I have nightmares about climate change."
"Zdarza mi się płakać z powodu zmiany klimatu."	"I find myself crying because of climate change."
"Myślę sobie: „Dlaczego nie radzę sobie lepiej ze zmianą klimatu?”."	"I think, “why can’t I handle climate change better?”."
"Kiedy jestem sam[[//a]], zastanawiam się, dlaczego zmiana klimatu wywołuje we mnie takie odczucia."	"I go away by myself and think about why I feel this way about climate change."
"Zapisuję swoje przemyślenia na temat zmiany klimatu i analizuję je."	"I write down my thoughts about climate change and analyze them."
"Zastanawiam się: „Dlaczego reaguję na zmianę klimatu w ten sposób?”."	"I think, “why do I react to climate change this way?”."
"Z powodu niepokoju zmianą klimatu, ciężko jest mi się cieszyć czasem z rodziną i przyjaciółmi."	"My concerns about climate change make it hard for me to have fun with my family or friends."
"Mam trudności z pogodzeniem mojej troski o środowisko z potrzebami mojej rodziny / moich bliskich."	"I have problems balancing my concerns about sustainability with the needs of my family."
"Moje obawy dotyczące zmiany klimatu przeszkadzają mi w wypełnianiu obowiązków zawodowych lub szkolnych."	"My concerns about climate change interfere with my ability to get work or school assignments done."
"Troska o zmianę klimatu utrudnia mi pracę na miarę moich możliwości."	"My concerns about climate change undermine my ability to work to my potential."
"Moi znajomi mówią, że za dużo myślę o zmianie klimatu."	"My friends say I think about climate change too much."
"Bezpośrednio odczuwam wpływ, jaki wywiera na mnie zmiana klimatu."	"I have been directly affected by climate change."
"Spotykam osoby, których bezpośrednio dotykają skutki zmiany klimatu."	"I know someone who has been directly affected by climate change."
"Zauważam, że ważne dla mnie miejsce zmienia się pod wpływem zmiany klimatu."	"I have noticed a change in a place that is important to me due to climate change."
