"Uczucie zdenerwowania, niepokoju lub napięcia"	"Feeling nervous, anxious or on edge"
"Ciągłe, niekontrolowane uczucie zmartwienia"	"Not being able to stop or control worrying"
"Nadmierne zamartwianie się"	"Worrying too much"
"Obawa, uczucie przerażenia"	"Feeling afraid"
"Ciągłe myślenie o nadchodzącej zmianie klimatu i innych globalnych problemach ekologicznych"	"Unable to stop thinking about future climate change and other global environmental problems"
"Ciągłe myślenie o konsekwencjach zmiany klimatu"	"Unable to stop thinking about past events related to climate change"
"Ciągłe myślenie o degradacji przyrody"	"Unable to stop thinking about losses to the environment"
"Trudności ze snem"	"Difficulty sleeping"
"Brak satysfakcji z czasu spędzonego wspólnie z rodziną i przyjaciółmi"	"Difficulty enjoying social situations with family and friends"
"Trudności w pracy i/lub nauce"	"Difficulty working and/or studying"
"Niepokój spowodowany tym, jak moje własne działania wpływają na środowisko naturalne"	"Feeling anxious about the impact of your personal behaviours on the earth"
"Niepokój związany z poczuciem odpowiedzialności, by przeciwdziałać problemom ekologicznym"	"Feeling anxious about your personal responsibility to help address environmental problems"
"Niepokój związany ze świadomością, jak niewielki jest wpływ moich własnych działań na rozwiązanie problemów ekologicznych"	"Feeling anxious that your personal behaviours will do little to help fix the problem"
