"Rezygnuję z samochodu na rzecz roweru lub transportu publicznego."	"I ride a bicycle or take public transportation rather than take the car."
"Segreguję odpady."	"I recycle paper."
"Kupuję produkty sezonowe."	"I buy seasonal produce."
"Czekam ze wstawianiem prania do momentu, aż uzbiera się pełna pralka."	"I wait until I have a full load before doing laundry."
"Biorę długi prysznic (ponad 5 minut)."	"I shower for longer than 5 minutes."
"Wybieram podróż pociągiem lub samochodem, zamiast samolotem, gdy tylko to możliwe."	"I take the train or car rather than a plane when possible."
"Jem mięso na obiad."	"I eat meat with my dinner."
"Zostawiam ładowarkę telefonu włączoną do sieci, nawet gdy nie jest używana."	"I leave my cell phone charger plugged in when not in use."
"Wyłączam światło, gdy wychodzę z pokoju jako ostatnia osoba."	"I turn the lights off when I am the last person to leave a room."
"Wybieram energooszczędny sprzęt elektroniczny, kupując nowe urządzenie."	"I purchase an energy efficient device when I purchase a new electronic appliance."
