"Gdy dochodzą mnie odgłosy prywatnej rozmowy, staram się nie słuchać."	"When I hear other people talking privately, I avoid listening."
"Zdarzyło mi się kogoś wykorzystać."	"There have been occasions when I have taken advantage of someone."
"Nigdy nie ukrywam swoich błędów."	"I never cover up my mistakes."
"Czasami staram się odegrać na kimś, zamiast mu wybaczyć."	"I sometimes try to get even rather than forgive and forget."
"Nigdy nie łamię prawa, nawet jeśli szansa na to, że ktoś mnie przyłapie, jest niewielka."	"I always obey laws, even if I’m unlikely to get caught."
"Powiedział[[em//am]] o bliskiej mi osobie coś złego za jej plecami."	"I have said something bad about a friend behind his or her back."
"Nigdy nie przeklinam."	"I never swear."
"Zdarzyło mi się otrzymać za dużo reszty w sklepie, ale udał[[em//am]], że tego nie zauważył[[em//am]]."	"I have received too much change from a salesperson without telling him or her."
"Nigdy nie śmiecę na ulicy."	"I have never dropped litter on the street."
"Zdarza mi się skłamać, jeśli muszę."	"I sometimes tell lies if I have to."
